Task|Total Time|Hours|Multiplier

Prepare:

Define (2) New Firewall for Replacement:|1.22||
-Determine internet circuit load balancing and failover configuration required|0.16|0.08|2
-Determine firewall settings:|1.00|0.50|2
--Circuit IPs|||
--Subnet|||
--Default gateway|||
--Firewall ruleset|||
--Firewall NAT|||
--Native site-to-site tunnels|||
--DNS|||
--DHCP|||
--Routing|||
--S2S VPN|||
--Mobile VPN|||
--Advanced security features|||
-Mobile user VPN authentication|0.16|0.08|2
-Determine content filtering requirements with POC|0.16|0.08|2
-Define subscription based security services that will be activated|0.16|0.08|2
-Confirm firewall configuration elements that will be retained|0.16|0.08|2
-Confirm firewall configuration elements that will be removed|0.16|0.08|2
-Confirm firewall configuration elements that will be added|0.16|0.08|2
-Confirm Basic Security Suite meets business requirements|0.16|0.08|2
-Identify replacement chronology and schedule|0.16|0.08|2

Implement:

Stage and Configure (2) New Firewall for Replacement:|2.48||
-Unbox and bench test (2) firewall|0.16|0.08|2
-Register device's serial and apply feature key|0.16|0.08|2
-Confirm firmware upgrade|0.16|0.08|2
-Physically label device|0.16|0.08|2
-Configure DNS|0.16|0.08|2
-Assign name for new firewall|0.08|0.04|2
-Configure aliases|0.16|0.08|2
-Configure firewall ruleset|0.16|0.08|2
-Configure VLANs|0.16|0.08|2
-Configure DHCP if required|0.16|0.08|2
-Configure external interfaces|0.16|0.08|2
-Configure private interface(s)|0.16|0.08|2
-Configure Link Monitor and MultiWAN|0.16|0.08|2
-Configure mobile VPN (1 admin user)|0.16|0.08|2
-Disable mobile VPN|0.16|0.08|2
-Configure SNMP and NetFlow|0.16|0.08|2

Operate:

Deploy (2) New Firewall Onsite:|3.05||
-Onsite service|1.00|1.00|1
-Announce maintenance window|0.25|0.25|1
-Install firewall in rackmount kit|0.32|0.16|2
-Install new firewall in designated location|0.32|0.16|2
-Connect power cords to UPS and secure|0.08|0.04|2
-Connect public and private interfaces and secure|0.08|0.04|2
-Perform cable management|1.00|0.50|2

Execute Test Plan:1.00||
Confirm LAN/internet access from all segments|||
Confirm public interfaces and failover configuration|||
Confirm monitoring and remote access|||
Confirm new baseline circuit performance metric|||
Confirm access to applications and application data|||

Optimize:

Project Closure:|2.25||
Enter configuration documentation into IT Glue and ConnectWise|1.25|1.25|1
Knowledge transfer meeting to Affinity technical support staff|0.25|0.25|1
Client verification of solution|0.25|0.25|1
Project closure|0.50|0.50|1
